"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,NA,NA,NA,NA,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,30.8541717529297,-30.3124961853027,22.37,5.90479161067752,"day"
1981-11-04,30.8958282470703,-30.2708282470703,22.2,6.56666331665409,"day"
1981-11-04,30.8958282470703,-30.2291641235352,22.13,7.60287717253097,"day"
1981-11-04,30.8958282470703,-30.3124961853027,22.45,8.43260540717663,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,NA,NA,NA,NA,"day"
1981-11-06,NA,NA,NA,NA,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,NA,NA,NA,NA,"day"
1981-11-08,30.8125,-30.3124961853027,22.21,5.54531312306285,"night"
1981-11-08,30.8541717529297,-30.3124961853027,21.86,5.90479161067752,"night"
1981-11-08,30.8958282470703,-30.2708282470703,22.19,6.56666331665409,"night"
1981-11-08,30.8958282470703,-30.2291641235352,21.92,7.60287717253097,"night"
1981-11-08,30.8958282470703,-30.3124961853027,21.78,8.43260540717663,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
