"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,NA,NA,NA,NA,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,31.3125,-29.4791641235352,22.42,3.66341779425227,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,NA,NA,NA,NA,"day"
1981-11-06,NA,NA,NA,NA,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,31.3125,-29.4791641235352,20.99,3.66341779425227,"day"
1981-11-08,31.3125,-29.4374961853027,20.69,4.98620764758368,"day"
1981-11-08,31.2708282470703,-29.5208282470703,20.96,5.71484127269186,"day"
1981-11-08,31.3125,-29.5208282470703,20.96,6.68114558690374,"day"
1981-11-08,31.3541717529297,-29.4791641235352,21,7.62074107778548,"day"
1981-11-08,31.2708282470703,-29.5208282470703,20.71,5.71484127269186,"night"
1981-11-08,31.3125,-29.5208282470703,20.71,6.68114558690374,"night"
1981-11-08,31.2291717529297,-29.5208282470703,19.63,7.30246994640046,"night"
1981-11-08,31.3541717529297,-29.4791641235352,20.54,7.62074107778548,"night"
1981-11-08,31.3541717529297,-29.5208282470703,20.62,9.4485185055789,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
