"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,26.5625,-33.7708282470703,10.68,2.63032226521014,"day"
1981-11-03,26.5208282470703,-33.7708282470703,10.68,3.08186478919353,"day"
1981-11-03,26.6041717529297,-33.7708282470703,12.53,5.84356414577542,"day"
1981-11-03,26.6041717529297,-33.7291641235352,10.8,6.01625760414933,"day"
1981-11-03,26.5625,-33.8124961853027,12.73,6.89945716734863,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,NA,NA,NA,NA,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,26.6041717529297,-33.7291641235352,16,6.01625760414933,"day"
1981-11-06,NA,NA,NA,NA,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,26.5208282470703,-33.8124961853027,17.04,7.08382352884149,"day"
1981-11-08,26.4791717529297,-33.8124961853027,17.04,9.08486688497564,"day"
1981-11-08,NA,NA,NA,NA,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
