"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,26.4791717529297,-33.8124961853027,10.84,4.83441781318122,"day"
1981-11-03,26.4375,-33.8124961853027,10.66,5.02680279932468,"day"
1981-11-03,26.5208282470703,-33.7708282470703,10.68,5.54364995970836,"day"
1981-11-03,26.5208282470703,-33.8124961853027,10.84,7.15859532876931,"day"
1981-11-03,26.3958282470703,-33.8124961853027,12.36,7.54669482639214,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,NA,NA,NA,NA,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,NA,NA,NA,NA,"day"
1981-11-06,26.3958282470703,-33.7708282470703,6.19,6.03671562458898,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,26.4791717529297,-33.8124961853027,17.04,4.83441781318122,"day"
1981-11-08,26.4375,-33.8124961853027,16.46,5.02680279932468,"day"
1981-11-08,26.5208282470703,-33.8124961853027,17.04,7.15859532876931,"day"
1981-11-08,26.3958282470703,-33.8124961853027,16.46,7.54669482639214,"day"
1981-11-08,NA,NA,NA,NA,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
