"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,28.8958282470703,-32.2708282470703,0.399999999999977,1.15265275707677,"night"
1981-11-02,28.8958282470703,-32.2291641235352,0.399999999999977,3.4772966005608,"night"
1981-11-02,28.9375,-32.2708282470703,0.5,4.21475405518986,"night"
1981-11-02,28.9375,-32.2291641235352,1.19,5.341782673999,"night"
1981-11-02,28.8958282470703,-32.3124961853027,1.51999999999998,5.76741387146699,"night"
1981-11-03,28.8958282470703,-32.2708282470703,12.89,1.15265275727873,"day"
1981-11-03,28.8541717529297,-32.2708282470703,11.79,3.96406272706607,"day"
1981-11-03,28.9375,-32.2708282470703,14,4.21475410907162,"day"
1981-11-03,28.9375,-32.2291641235352,11.8,5.34178271659016,"day"
1981-11-03,28.8958282470703,-32.3124961853027,13.96,5.7674138715073,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,28.9375,-32.2708282470703,19.86,4.21475410907162,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,28.9375,-32.2708282470703,21.95,4.21475410907162,"day"
1981-11-06,28.9375,-32.2291641235352,21.42,5.34178271659016,"day"
1981-11-06,28.9791717529297,-32.2708282470703,22.25,8.0642009115255,"day"
1981-11-06,28.9791717529297,-32.2291641235352,21.83,8.70766424245514,"day"
1981-11-06,NA,NA,NA,NA,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,NA,NA,NA,NA,"day"
1981-11-08,NA,NA,NA,NA,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
