"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,26.6458282470703,-33.7291641235352,10.8,4.15638997061363,"day"
1981-11-03,26.6875,-33.7291641235352,12.25,4.25549383456514,"day"
1981-11-03,26.7291717529297,-33.6874961853027,11.55,5.96969280437466,"day"
1981-11-03,26.6041717529297,-33.7291641235352,10.8,6.80204005355437,"day"
1981-11-03,26.7291717529297,-33.7291641235352,12.63,6.98461041938453,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,NA,NA,NA,NA,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,26.6458282470703,-33.7291641235352,16,4.15638997061363,"day"
1981-11-06,26.6041717529297,-33.7291641235352,16,6.80204005355437,"day"
1981-11-06,26.7291717529297,-33.6874961853027,8.62,5.96969280437466,"night"
1981-11-07,NA,NA,NA,NA,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,NA,NA,NA,NA,"day"
1981-11-08,NA,NA,NA,NA,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
