"date","lon","lat","SST","dist","don"
1981-11-01,NA,NA,NA,NA,"day"
1981-11-01,NA,NA,NA,NA,"night"
1981-11-02,NA,NA,NA,NA,"day"
1981-11-02,NA,NA,NA,NA,"night"
1981-11-03,NA,NA,NA,NA,"day"
1981-11-03,NA,NA,NA,NA,"night"
1981-11-04,NA,NA,NA,NA,"day"
1981-11-04,NA,NA,NA,NA,"night"
1981-11-05,NA,NA,NA,NA,"day"
1981-11-05,NA,NA,NA,NA,"night"
1981-11-06,32.6458282470703,-27.8541641235352,22.1,4.68603966222132,"day"
1981-11-06,32.6458282470703,-27.9374961853027,21.78,8.20626244673456,"day"
1981-11-06,NA,NA,NA,NA,"night"
1981-11-07,32.6458282470703,-27.8541641235352,21.45,4.68603966222132,"day"
1981-11-07,32.6041717529297,-27.9374961853027,22.95,7.07552597462097,"day"
1981-11-07,32.6458282470703,-27.9374961853027,22.96,8.20626244673456,"day"
1981-11-07,NA,NA,NA,NA,"night"
1981-11-08,32.6458282470703,-27.8958282470703,21.89,4.83010895394288,"day"
1981-11-08,32.6041717529297,-27.9374961853027,21.88,7.07552597462097,"day"
1981-11-08,NA,NA,NA,NA,"night"
1981-11-09,NA,NA,NA,NA,"day"
1981-11-09,NA,NA,NA,NA,"night"
1981-11-10,NA,NA,NA,NA,"day"
1981-11-10,NA,NA,NA,NA,"night"
